■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-21,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-08-20~2023-08-20   영화구분: 전체   국적: 한국   지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2023년 08월 20일(Sun),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율","매출액증감
(전일대비)",매출액증감율(전일대비),누적매출액,관객수,관객수증감(전일대비),관객수증감율(전일대비),누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
20,불佛효자,,2700,0,2700,1,2700,27,27,1,27,1,1,한국,한국,,,,다큐멘터리,,
21,범죄도시3,2023-05-31,175000,0,39922,0.296,104685145878,21,2,0.105,10682491,5,5,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"마동석,황순명,이준혁,아오키 무네타카,이범수,김민재,이지훈,김도건,고규필,전석호,안세호,한규원,최우준,최동구,이세호,이태규,배누리,최광제,심영은,김기호,고건한,신현용,쿠니무라 준,박지환,윤상돈,김지수"
22,촌색씨,,30000,0,30000,1,6036000,15,15,1,3018,1,3,한국,한국,,,,"멜로/로맨스,드라마",박영환,"이경태,최은희,이대엽,도금봉"
23,킬링 로맨스,2023-04-14,154000,0,88000,1.333,1833151642,14,8,1.333,191623,2,2,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,코미디,이원석,"이하늬,이선균,공명,배유람,심달기,최준규,신민재,주광현,강학수,서정식,김영현,황대기,윤세웅,최종윤,정윤하,이서이,김준,김원진,한상철,이은주,김상욱,김상욱,오윤수,조현진,심우성,홍기주,원진호,최민국,최민국,신용식,안정호,한지호,조청원,김재호,박상원,이순성,권정우,손수호,이유진,이주성,송지훈,송태완,조애리,이도영,정동현,손주영,유요한,손선아,곽정길,정지민,김윤숙,김춘기,곽장륜,진범일,조승원,차유주,박은철,정경천,임현정,모일영,진성현,한성관,임유진,심달기,최덕문,오정세"
24,소셜포비아,2015-03-12,99000,0,99000,1,1980165563,9,9,1,251683,1,1,한국,한국,한국영화아카데미,CGV아트하우스,15세이상관람가,"스릴러,드라마",홍석재,"변요한,이주승,하윤경,이강욱,류준열,배유람,엄기성,하상명,전신환,김종수,남문철,오희준,박근록,박예영,임지호"
24,연악: 나의 운명,2023-08-10,67500,0,39500,1.411,3216800,9,6,2,346,3,3,한국,한국,주식회사 도화원엔터테인먼트,시네마 뉴원,전체관람가,"사극,드라마",박한열,"강신혜,정욱,손건우,이영욱,송민경,박근수,서문경,윤배영"
26,작은정원,2023-07-12,27000,0,-105000,-0.795,14356800,4,-13,-0.765,1972,3,3,한국,한국,아나레스,(주)시네마달,전체관람가,다큐멘터리,이마리오,
26,안나푸르나,2023-06-08,8000,0,8000,1,8431856,4,4,1,1089,1,2,한국,한국,주식회사인시즌,시네마 뉴원,전체관람가,"드라마,멜로/로맨스,코미디",황승재,"차선우,김강현"
26,비닐하우스,2023-07-26,34000,0,-463000,-0.932,90647476,4,-66,-0.943,10781,3,3,한국,한국,한국영화아카데미,(주)트리플픽쳐스,15세이상관람가,범죄,이솔희,김서형
29,그 노래,2023-08-16,22500,0,-44500,-0.664,2257000,2,-8,-0.8,215,2,2,한국,한국,"에스지엔터테인먼트(주),주식회사 씨엠닉스",주식회사 씨엠닉스,12세이상관람가,"드라마,뮤지컬",오성수,한기찬
30,라방,2023-06-28,7000,0,-13500,-0.659,122966128,1,-2,-0.667,13645,1,1,한국,한국,영화사올(주),(주)트리플픽쳐스,청소년관람불가,스릴러,최주연,"박성웅,박선호,김희정"
30,탄생,2022-11-30,12000,0,-190000,-0.941,3156405416,1,-32,-0.97,351510,1,1,한국,한국,"민영화사,가톨릭문화원 ALMA ART","씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",12세이상관람가,드라마,박흥식,"윤시윤,안성기,윤경호,이문식,이호원,이경영,신정근,송지연,하경,김광규,임현수,김승훈,박지훈,성혁,백지원,최무성,차청화,남다름,이준혁,강말금,김강우,정유미,강덕중,송길호,정준환,송훈,한창현,이문빈,고봉구,김동현,이승훈,조재룡,최윤우,한바다,김용태,이경훈,최로운,최민주,김형도,김나운,나기수,강두,박주연,장민영,김여준,공현지,이용이,김대종,이호영,이용헌,오현진,김성수,김재훈,신성용,고해성,전운종,김기현,김주헌,장용원,황수진,양정인,윤지애"
합계,,,3558478302,,,,209042322234,352263,,,21527111,4026,9875,,,,,,,,
